Period,Geography,Measure,Observation
1940,Northern Ireland,Annual Mean Temperature,8.38
1941,Northern Ireland,Annual Mean Temperature,8.25
1942,Northern Ireland,Annual Mean Temperature,8.46
1943,Northern Ireland,Annual Mean Temperature,9.17
1944,Northern Ireland,Annual Mean Temperature,8.83
1945,Northern Ireland,Annual Mean Temperature,9.45
1946,Northern Ireland,Annual Mean Temperature,8.52
1947,Northern Ireland,Annual Mean Temperature,8.53
1948,Northern Ireland,Annual Mean Temperature,8.99
1949,Northern Ireland,Annual Mean Temperature,9.55
1950,Northern Ireland,Annual Mean Temperature,8.42
1951,Northern Ireland,Annual Mean Temperature,8.24
1952,Northern Ireland,Annual Mean Temperature,8.29
1953,Northern Ireland,Annual Mean Temperature,9.2
1954,Northern Ireland,Annual Mean Temperature,8.41
1955,Northern Ireland,Annual Mean Temperature,8.62
1956,Northern Ireland,Annual Mean Temperature,8.45
1957,Northern Ireland,Annual Mean Temperature,8.91
1958,Northern Ireland,Annual Mean Temperature,8.58
1959,Northern Ireland,Annual Mean Temperature,9.3
1960,Northern Ireland,Annual Mean Temperature,8.68
1961,Northern Ireland,Annual Mean Temperature,8.69
1962,Northern Ireland,Annual Mean Temperature,7.96
1963,Northern Ireland,Annual Mean Temperature,7.79
1964,Northern Ireland,Annual Mean Temperature,8.65
1965,Northern Ireland,Annual Mean Temperature,7.91
1966,Northern Ireland,Annual Mean Temperature,8.4
1967,Northern Ireland,Annual Mean Temperature,8.47
1968,Northern Ireland,Annual Mean Temperature,8.4
1969,Northern Ireland,Annual Mean Temperature,8.13
1970,Northern Ireland,Annual Mean Temperature,8.47
1971,Northern Ireland,Annual Mean Temperature,8.99
1972,Northern Ireland,Annual Mean Temperature,8.08
1973,Northern Ireland,Annual Mean Temperature,8.64
1974,Northern Ireland,Annual Mean Temperature,8.34
1975,Northern Ireland,Annual Mean Temperature,8.97
1976,Northern Ireland,Annual Mean Temperature,8.72
1977,Northern Ireland,Annual Mean Temperature,8.35
1978,Northern Ireland,Annual Mean Temperature,8.51
1979,Northern Ireland,Annual Mean Temperature,7.63
1980,Northern Ireland,Annual Mean Temperature,8.47
1981,Northern Ireland,Annual Mean Temperature,8.36
1982,Northern Ireland,Annual Mean Temperature,8.62
1983,Northern Ireland,Annual Mean Temperature,9.03
1984,Northern Ireland,Annual Mean Temperature,8.55
1985,Northern Ireland,Annual Mean Temperature,7.94
1986,Northern Ireland,Annual Mean Temperature,7.72
1987,Northern Ireland,Annual Mean Temperature,8.24
1988,Northern Ireland,Annual Mean Temperature,8.82
1989,Northern Ireland,Annual Mean Temperature,9.1
1990,Northern Ireland,Annual Mean Temperature,9.17
1991,Northern Ireland,Annual Mean Temperature,8.74
1992,Northern Ireland,Annual Mean Temperature,8.68
1993,Northern Ireland,Annual Mean Temperature,8.45
1994,Northern Ireland,Annual Mean Temperature,8.72
1995,Northern Ireland,Annual Mean Temperature,9.35
1996,Northern Ireland,Annual Mean Temperature,8.45
1997,Northern Ireland,Annual Mean Temperature,9.53
1998,Northern Ireland,Annual Mean Temperature,9.32
1999,Northern Ireland,Annual Mean Temperature,9.32
2000,Northern Ireland,Annual Mean Temperature,9.02
2001,Northern Ireland,Annual Mean Temperature,8.9
2002,Northern Ireland,Annual Mean Temperature,9.39
2003,Northern Ireland,Annual Mean Temperature,9.39
2004,Northern Ireland,Annual Mean Temperature,9.43
2005,Northern Ireland,Annual Mean Temperature,9.57
2006,Northern Ireland,Annual Mean Temperature,9.63
2007,Northern Ireland,Annual Mean Temperature,9.77
2008,Northern Ireland,Annual Mean Temperature,9.05
2009,Northern Ireland,Annual Mean Temperature,9.07
2010,Northern Ireland,Annual Mean Temperature,7.95
2011,Northern Ireland,Annual Mean Temperature,9.36
2012,Northern Ireland,Annual Mean Temperature,8.91
2013,Northern Ireland,Annual Mean Temperature,8.98
2014,Northern Ireland,Annual Mean Temperature,9.58
2015,Northern Ireland,Annual Mean Temperature,8.82
2016,Northern Ireland,Annual Mean Temperature,9.32
2017,Northern Ireland,Annual Mean Temperature,9.48
2018,Northern Ireland,Annual Mean Temperature,9.18
2019,Northern Ireland,Annual Mean Temperature,9.35
2020,Northern Ireland,Annual Mean Temperature,9.28
2021,Northern Ireland,Annual Mean Temperature,9.54
2022,Northern Ireland,Annual Mean Temperature,9.83
1884,United Kingdom,Annual Mean Temperature (Trend),7.77
1885,United Kingdom,Annual Mean Temperature (Trend),7.77
1886,United Kingdom,Annual Mean Temperature (Trend),7.78
1887,United Kingdom,Annual Mean Temperature (Trend),7.79
1888,United Kingdom,Annual Mean Temperature (Trend),7.81
1889,United Kingdom,Annual Mean Temperature (Trend),7.84
1890,United Kingdom,Annual Mean Temperature (Trend),7.87
1891,United Kingdom,Annual Mean Temperature (Trend),7.89
1892,United Kingdom,Annual Mean Temperature (Trend),7.92
1893,United Kingdom,Annual Mean Temperature (Trend),7.95
1894,United Kingdom,Annual Mean Temperature (Trend),7.98
1895,United Kingdom,Annual Mean Temperature (Trend),8.01
1896,United Kingdom,Annual Mean Temperature (Trend),8.03
1897,United Kingdom,Annual Mean Temperature (Trend),8.06
1898,United Kingdom,Annual Mean Temperature (Trend),8.08
1899,United Kingdom,Annual Mean Temperature (Trend),8.1
1900,United Kingdom,Annual Mean Temperature (Trend),8.11
1901,United Kingdom,Annual Mean Temperature (Trend),8.13
1902,United Kingdom,Annual Mean Temperature (Trend),8.13
1903,United Kingdom,Annual Mean Temperature (Trend),8.14
1904,United Kingdom,Annual Mean Temperature (Trend),8.15
1905,United Kingdom,Annual Mean Temperature (Trend),8.15
1906,United Kingdom,Annual Mean Temperature (Trend),8.15
1907,United Kingdom,Annual Mean Temperature (Trend),8.16
1908,United Kingdom,Annual Mean Temperature (Trend),8.15
1909,United Kingdom,Annual Mean Temperature (Trend),8.15
1910,United Kingdom,Annual Mean Temperature (Trend),8.16
1911,United Kingdom,Annual Mean Temperature (Trend),8.16
1912,United Kingdom,Annual Mean Temperature (Trend),8.16
1913,United Kingdom,Annual Mean Temperature (Trend),8.16
1914,United Kingdom,Annual Mean Temperature (Trend),8.16
1915,United Kingdom,Annual Mean Temperature (Trend),8.16
1916,United Kingdom,Annual Mean Temperature (Trend),8.16
1917,United Kingdom,Annual Mean Temperature (Trend),8.16
1918,United Kingdom,Annual Mean Temperature (Trend),8.17
1919,United Kingdom,Annual Mean Temperature (Trend),8.17
1920,United Kingdom,Annual Mean Temperature (Trend),8.18
1921,United Kingdom,Annual Mean Temperature (Trend),8.2
1922,United Kingdom,Annual Mean Temperature (Trend),8.2
1923,United Kingdom,Annual Mean Temperature (Trend),8.21
1924,United Kingdom,Annual Mean Temperature (Trend),8.23
1925,United Kingdom,Annual Mean Temperature (Trend),8.24
1926,United Kingdom,Annual Mean Temperature (Trend),8.25
1927,United Kingdom,Annual Mean Temperature (Trend),8.26
1928,United Kingdom,Annual Mean Temperature (Trend),8.27
1929,United Kingdom,Annual Mean Temperature (Trend),8.29
1930,United Kingdom,Annual Mean Temperature (Trend),8.31
1931,United Kingdom,Annual Mean Temperature (Trend),8.33
1932,United Kingdom,Annual Mean Temperature (Trend),8.35
1933,United Kingdom,Annual Mean Temperature (Trend),8.37
1934,United Kingdom,Annual Mean Temperature (Trend),8.39
1935,United Kingdom,Annual Mean Temperature (Trend),8.4
1936,United Kingdom,Annual Mean Temperature (Trend),8.42
1937,United Kingdom,Annual Mean Temperature (Trend),8.43
1938,United Kingdom,Annual Mean Temperature (Trend),8.44
1939,United Kingdom,Annual Mean Temperature (Trend),8.45
1940,United Kingdom,Annual Mean Temperature (Trend),8.45
1941,United Kingdom,Annual Mean Temperature (Trend),8.46
1942,United Kingdom,Annual Mean Temperature (Trend),8.47
1943,United Kingdom,Annual Mean Temperature (Trend),8.48
1944,United Kingdom,Annual Mean Temperature (Trend),8.48
1945,United Kingdom,Annual Mean Temperature (Trend),8.49
1946,United Kingdom,Annual Mean Temperature (Trend),8.49
1947,United Kingdom,Annual Mean Temperature (Trend),8.49
1948,United Kingdom,Annual Mean Temperature (Trend),8.49
1949,United Kingdom,Annual Mean Temperature (Trend),8.48
1950,United Kingdom,Annual Mean Temperature (Trend),8.47
1951,United Kingdom,Annual Mean Temperature (Trend),8.45
1952,United Kingdom,Annual Mean Temperature (Trend),8.43
1953,United Kingdom,Annual Mean Temperature (Trend),8.42
1954,United Kingdom,Annual Mean Temperature (Trend),8.4
1955,United Kingdom,Annual Mean Temperature (Trend),8.39
1956,United Kingdom,Annual Mean Temperature (Trend),8.38
1957,United Kingdom,Annual Mean Temperature (Trend),8.36
1958,United Kingdom,Annual Mean Temperature (Trend),8.35
1959,United Kingdom,Annual Mean Temperature (Trend),8.33
1960,United Kingdom,Annual Mean Temperature (Trend),8.31
1961,United Kingdom,Annual Mean Temperature (Trend),8.29
1962,United Kingdom,Annual Mean Temperature (Trend),8.28
1963,United Kingdom,Annual Mean Temperature (Trend),8.26
1964,United Kingdom,Annual Mean Temperature (Trend),8.26
1965,United Kingdom,Annual Mean Temperature (Trend),8.26
1966,United Kingdom,Annual Mean Temperature (Trend),8.26
1967,United Kingdom,Annual Mean Temperature (Trend),8.27
1968,United Kingdom,Annual Mean Temperature (Trend),8.27
1969,United Kingdom,Annual Mean Temperature (Trend),8.28
1970,United Kingdom,Annual Mean Temperature (Trend),8.29
1971,United Kingdom,Annual Mean Temperature (Trend),8.3
1972,United Kingdom,Annual Mean Temperature (Trend),8.3
1973,United Kingdom,Annual Mean Temperature (Trend),8.3
1974,United Kingdom,Annual Mean Temperature (Trend),8.3
1975,United Kingdom,Annual Mean Temperature (Trend),8.31
1976,United Kingdom,Annual Mean Temperature (Trend),8.32
1977,United Kingdom,Annual Mean Temperature (Trend),8.33
1978,United Kingdom,Annual Mean Temperature (Trend),8.34
1979,United Kingdom,Annual Mean Temperature (Trend),8.35
1980,United Kingdom,Annual Mean Temperature (Trend),8.36
1981,United Kingdom,Annual Mean Temperature (Trend),8.38
1982,United Kingdom,Annual Mean Temperature (Trend),8.4
1983,United Kingdom,Annual Mean Temperature (Trend),8.42
1984,United Kingdom,Annual Mean Temperature (Trend),8.44
1985,United Kingdom,Annual Mean Temperature (Trend),8.46
1986,United Kingdom,Annual Mean Temperature (Trend),8.49
1987,United Kingdom,Annual Mean Temperature (Trend),8.52
1988,United Kingdom,Annual Mean Temperature (Trend),8.57
1989,United Kingdom,Annual Mean Temperature (Trend),8.62
1990,United Kingdom,Annual Mean Temperature (Trend),8.66
1991,United Kingdom,Annual Mean Temperature (Trend),8.7
1992,United Kingdom,Annual Mean Temperature (Trend),8.75
1993,United Kingdom,Annual Mean Temperature (Trend),8.8
1994,United Kingdom,Annual Mean Temperature (Trend),8.85
1995,United Kingdom,Annual Mean Temperature (Trend),8.9
1996,United Kingdom,Annual Mean Temperature (Trend),8.94
1997,United Kingdom,Annual Mean Temperature (Trend),8.98
1998,United Kingdom,Annual Mean Temperature (Trend),9.02
1999,United Kingdom,Annual Mean Temperature (Trend),9.05
2000,United Kingdom,Annual Mean Temperature (Trend),9.09
2001,United Kingdom,Annual Mean Temperature (Trend),9.12
2002,United Kingdom,Annual Mean Temperature (Trend),9.14
2003,United Kingdom,Annual Mean Temperature (Trend),9.16
2004,United Kingdom,Annual Mean Temperature (Trend),9.17
2005,United Kingdom,Annual Mean Temperature (Trend),9.19
2006,United Kingdom,Annual Mean Temperature (Trend),9.2
2007,United Kingdom,Annual Mean Temperature (Trend),9.21
2008,United Kingdom,Annual Mean Temperature (Trend),9.22
2009,United Kingdom,Annual Mean Temperature (Trend),9.23
2010,United Kingdom,Annual Mean Temperature (Trend),9.23
2011,United Kingdom,Annual Mean Temperature (Trend),9.25
2012,United Kingdom,Annual Mean Temperature (Trend),9.27
2013,United Kingdom,Annual Mean Temperature (Trend),9.28
2014,United Kingdom,Annual Mean Temperature (Trend),9.31
2015,United Kingdom,Annual Mean Temperature (Trend),9.33
2016,United Kingdom,Annual Mean Temperature (Trend),9.35
2017,United Kingdom,Annual Mean Temperature (Trend),9.37
2018,United Kingdom,Annual Mean Temperature (Trend),9.38
2019,United Kingdom,Annual Mean Temperature (Trend),9.39
2020,United Kingdom,Annual Mean Temperature (Trend),9.41
2021,United Kingdom,Annual Mean Temperature (Trend),9.41
2022,United Kingdom,Annual Mean Temperature (Trend),9.42
1884,England,Annual Mean Temperature (Trend),8.4
1885,England,Annual Mean Temperature (Trend),8.4
1886,England,Annual Mean Temperature (Trend),8.41
1887,England,Annual Mean Temperature (Trend),8.43
1888,England,Annual Mean Temperature (Trend),8.44
1889,England,Annual Mean Temperature (Trend),8.47
1890,England,Annual Mean Temperature (Trend),8.5
1891,England,Annual Mean Temperature (Trend),8.53
1892,England,Annual Mean Temperature (Trend),8.56
1893,England,Annual Mean Temperature (Trend),8.6
1894,England,Annual Mean Temperature (Trend),8.64
1895,England,Annual Mean Temperature (Trend),8.66
1896,England,Annual Mean Temperature (Trend),8.69
1897,England,Annual Mean Temperature (Trend),8.72
1898,England,Annual Mean Temperature (Trend),8.74
1899,England,Annual Mean Temperature (Trend),8.76
1900,England,Annual Mean Temperature (Trend),8.78
1901,England,Annual Mean Temperature (Trend),8.8
1902,England,Annual Mean Temperature (Trend),8.81
1903,England,Annual Mean Temperature (Trend),8.82
1904,England,Annual Mean Temperature (Trend),8.83
1905,England,Annual Mean Temperature (Trend),8.84
1906,England,Annual Mean Temperature (Trend),8.84
1907,England,Annual Mean Temperature (Trend),8.85
1908,England,Annual Mean Temperature (Trend),8.85
1909,England,Annual Mean Temperature (Trend),8.85
1910,England,Annual Mean Temperature (Trend),8.86
1911,England,Annual Mean Temperature (Trend),8.87
1912,England,Annual Mean Temperature (Trend),8.87
1913,England,Annual Mean Temperature (Trend),8.87
1914,England,Annual Mean Temperature (Trend),8.87
1915,England,Annual Mean Temperature (Trend),8.87
1916,England,Annual Mean Temperature (Trend),8.87
1917,England,Annual Mean Temperature (Trend),8.87
1918,England,Annual Mean Temperature (Trend),8.87
1919,England,Annual Mean Temperature (Trend),8.88
1920,England,Annual Mean Temperature (Trend),8.89
1921,England,Annual Mean Temperature (Trend),8.91
1922,England,Annual Mean Temperature (Trend),8.91
1923,England,Annual Mean Temperature (Trend),8.92
1924,England,Annual Mean Temperature (Trend),8.93
1925,England,Annual Mean Temperature (Trend),8.94
1926,England,Annual Mean Temperature (Trend),8.95
1927,England,Annual Mean Temperature (Trend),8.96
1928,England,Annual Mean Temperature (Trend),8.97
1929,England,Annual Mean Temperature (Trend),8.98
1930,England,Annual Mean Temperature (Trend),9.0
1931,England,Annual Mean Temperature (Trend),9.02
1932,England,Annual Mean Temperature (Trend),9.04
1933,England,Annual Mean Temperature (Trend),9.06
1934,England,Annual Mean Temperature (Trend),9.08
1935,England,Annual Mean Temperature (Trend),9.09
1936,England,Annual Mean Temperature (Trend),9.1
1937,England,Annual Mean Temperature (Trend),9.12
1938,England,Annual Mean Temperature (Trend),9.13
1939,England,Annual Mean Temperature (Trend),9.14
1940,England,Annual Mean Temperature (Trend),9.14
1941,England,Annual Mean Temperature (Trend),9.15
1942,England,Annual Mean Temperature (Trend),9.16
1943,England,Annual Mean Temperature (Trend),9.17
1944,England,Annual Mean Temperature (Trend),9.18
1945,England,Annual Mean Temperature (Trend),9.19
1946,England,Annual Mean Temperature (Trend),9.19
1947,England,Annual Mean Temperature (Trend),9.19
1948,England,Annual Mean Temperature (Trend),9.19
1949,England,Annual Mean Temperature (Trend),9.18
1950,England,Annual Mean Temperature (Trend),9.16
1951,England,Annual Mean Temperature (Trend),9.14
1952,England,Annual Mean Temperature (Trend),9.13
1953,England,Annual Mean Temperature (Trend),9.11
1954,England,Annual Mean Temperature (Trend),9.1
1955,England,Annual Mean Temperature (Trend),9.08
1956,England,Annual Mean Temperature (Trend),9.07
1957,England,Annual Mean Temperature (Trend),9.06
1958,England,Annual Mean Temperature (Trend),9.04
1959,England,Annual Mean Temperature (Trend),9.03
1960,England,Annual Mean Temperature (Trend),9.01
1961,England,Annual Mean Temperature (Trend),8.99
1962,England,Annual Mean Temperature (Trend),8.97
1963,England,Annual Mean Temperature (Trend),8.96
1964,England,Annual Mean Temperature (Trend),8.96
1965,England,Annual Mean Temperature (Trend),8.96
1966,England,Annual Mean Temperature (Trend),8.97
1967,England,Annual Mean Temperature (Trend),8.97
1968,England,Annual Mean Temperature (Trend),8.98
1969,England,Annual Mean Temperature (Trend),8.99
1970,England,Annual Mean Temperature (Trend),9.0
1971,England,Annual Mean Temperature (Trend),9.01
1972,England,Annual Mean Temperature (Trend),9.01
1973,England,Annual Mean Temperature (Trend),9.01
1974,England,Annual Mean Temperature (Trend),9.02
1975,England,Annual Mean Temperature (Trend),9.03
1976,England,Annual Mean Temperature (Trend),9.05
1977,England,Annual Mean Temperature (Trend),9.06
1978,England,Annual Mean Temperature (Trend),9.07
1979,England,Annual Mean Temperature (Trend),9.08
1980,England,Annual Mean Temperature (Trend),9.1
1981,England,Annual Mean Temperature (Trend),9.12
1982,England,Annual Mean Temperature (Trend),9.15
1983,England,Annual Mean Temperature (Trend),9.17
1984,England,Annual Mean Temperature (Trend),9.19
1985,England,Annual Mean Temperature (Trend),9.22
1986,England,Annual Mean Temperature (Trend),9.25
1987,England,Annual Mean Temperature (Trend),9.29
1988,England,Annual Mean Temperature (Trend),9.34
1989,England,Annual Mean Temperature (Trend),9.4
1990,England,Annual Mean Temperature (Trend),9.45
1991,England,Annual Mean Temperature (Trend),9.49
1992,England,Annual Mean Temperature (Trend),9.54
1993,England,Annual Mean Temperature (Trend),9.59
1994,England,Annual Mean Temperature (Trend),9.65
1995,England,Annual Mean Temperature (Trend),9.7
1996,England,Annual Mean Temperature (Trend),9.74
1997,England,Annual Mean Temperature (Trend),9.78
1998,England,Annual Mean Temperature (Trend),9.82
1999,England,Annual Mean Temperature (Trend),9.86
2000,England,Annual Mean Temperature (Trend),9.89
2001,England,Annual Mean Temperature (Trend),9.92
2002,England,Annual Mean Temperature (Trend),9.95
2003,England,Annual Mean Temperature (Trend),9.97
2004,England,Annual Mean Temperature (Trend),9.98
2005,England,Annual Mean Temperature (Trend),10.0
2006,England,Annual Mean Temperature (Trend),10.02
2007,England,Annual Mean Temperature (Trend),10.03
2008,England,Annual Mean Temperature (Trend),10.04
2009,England,Annual Mean Temperature (Trend),10.05
2010,England,Annual Mean Temperature (Trend),10.06
2011,England,Annual Mean Temperature (Trend),10.08
2012,England,Annual Mean Temperature (Trend),10.1
2013,England,Annual Mean Temperature (Trend),10.12
2014,England,Annual Mean Temperature (Trend),10.15
2015,England,Annual Mean Temperature (Trend),10.18
2016,England,Annual Mean Temperature (Trend),10.2
2017,England,Annual Mean Temperature (Trend),10.22
2018,England,Annual Mean Temperature (Trend),10.24
2019,England,Annual Mean Temperature (Trend),10.26
2020,England,Annual Mean Temperature (Trend),10.27
2021,England,Annual Mean Temperature (Trend),10.28
2022,England,Annual Mean Temperature (Trend),10.29
1884,Wales,Annual Mean Temperature (Trend),8.02
1885,Wales,Annual Mean Temperature (Trend),8.02
1886,Wales,Annual Mean Temperature (Trend),8.04
1887,Wales,Annual Mean Temperature (Trend),8.05
1888,Wales,Annual Mean Temperature (Trend),8.07
1889,Wales,Annual Mean Temperature (Trend),8.1
1890,Wales,Annual Mean Temperature (Trend),8.14
1891,Wales,Annual Mean Temperature (Trend),8.17
1892,Wales,Annual Mean Temperature (Trend),8.2
1893,Wales,Annual Mean Temperature (Trend),8.25
1894,Wales,Annual Mean Temperature (Trend),8.28
1895,Wales,Annual Mean Temperature (Trend),8.3
1896,Wales,Annual Mean Temperature (Trend),8.33
1897,Wales,Annual Mean Temperature (Trend),8.36
1898,Wales,Annual Mean Temperature (Trend),8.38
1899,Wales,Annual Mean Temperature (Trend),8.4
1900,Wales,Annual Mean Temperature (Trend),8.42
1901,Wales,Annual Mean Temperature (Trend),8.44
1902,Wales,Annual Mean Temperature (Trend),8.45
1903,Wales,Annual Mean Temperature (Trend),8.46
1904,Wales,Annual Mean Temperature (Trend),8.47
1905,Wales,Annual Mean Temperature (Trend),8.47
1906,Wales,Annual Mean Temperature (Trend),8.48
1907,Wales,Annual Mean Temperature (Trend),8.49
1908,Wales,Annual Mean Temperature (Trend),8.49
1909,Wales,Annual Mean Temperature (Trend),8.5
1910,Wales,Annual Mean Temperature (Trend),8.51
1911,Wales,Annual Mean Temperature (Trend),8.52
1912,Wales,Annual Mean Temperature (Trend),8.53
1913,Wales,Annual Mean Temperature (Trend),8.53
1914,Wales,Annual Mean Temperature (Trend),8.54
1915,Wales,Annual Mean Temperature (Trend),8.54
1916,Wales,Annual Mean Temperature (Trend),8.54
1917,Wales,Annual Mean Temperature (Trend),8.54
1918,Wales,Annual Mean Temperature (Trend),8.54
1919,Wales,Annual Mean Temperature (Trend),8.55
1920,Wales,Annual Mean Temperature (Trend),8.56
1921,Wales,Annual Mean Temperature (Trend),8.57
1922,Wales,Annual Mean Temperature (Trend),8.57
1923,Wales,Annual Mean Temperature (Trend),8.57
1924,Wales,Annual Mean Temperature (Trend),8.58
1925,Wales,Annual Mean Temperature (Trend),8.59
1926,Wales,Annual Mean Temperature (Trend),8.59
1927,Wales,Annual Mean Temperature (Trend),8.6
1928,Wales,Annual Mean Temperature (Trend),8.61
1929,Wales,Annual Mean Temperature (Trend),8.62
1930,Wales,Annual Mean Temperature (Trend),8.63
1931,Wales,Annual Mean Temperature (Trend),8.65
1932,Wales,Annual Mean Temperature (Trend),8.67
1933,Wales,Annual Mean Temperature (Trend),8.68
1934,Wales,Annual Mean Temperature (Trend),8.7
1935,Wales,Annual Mean Temperature (Trend),8.71
1936,Wales,Annual Mean Temperature (Trend),8.72
1937,Wales,Annual Mean Temperature (Trend),8.74
1938,Wales,Annual Mean Temperature (Trend),8.75
1939,Wales,Annual Mean Temperature (Trend),8.76
1940,Wales,Annual Mean Temperature (Trend),8.77
1941,Wales,Annual Mean Temperature (Trend),8.77
1942,Wales,Annual Mean Temperature (Trend),8.78
1943,Wales,Annual Mean Temperature (Trend),8.79
1944,Wales,Annual Mean Temperature (Trend),8.8
1945,Wales,Annual Mean Temperature (Trend),8.81
1946,Wales,Annual Mean Temperature (Trend),8.81
1947,Wales,Annual Mean Temperature (Trend),8.82
1948,Wales,Annual Mean Temperature (Trend),8.82
1949,Wales,Annual Mean Temperature (Trend),8.81
1950,Wales,Annual Mean Temperature (Trend),8.79
1951,Wales,Annual Mean Temperature (Trend),8.78
1952,Wales,Annual Mean Temperature (Trend),8.76
1953,Wales,Annual Mean Temperature (Trend),8.75
1954,Wales,Annual Mean Temperature (Trend),8.73
1955,Wales,Annual Mean Temperature (Trend),8.72
1956,Wales,Annual Mean Temperature (Trend),8.7
1957,Wales,Annual Mean Temperature (Trend),8.69
1958,Wales,Annual Mean Temperature (Trend),8.67
1959,Wales,Annual Mean Temperature (Trend),8.66
1960,Wales,Annual Mean Temperature (Trend),8.63
1961,Wales,Annual Mean Temperature (Trend),8.61
1962,Wales,Annual Mean Temperature (Trend),8.59
1963,Wales,Annual Mean Temperature (Trend),8.57
1964,Wales,Annual Mean Temperature (Trend),8.57
1965,Wales,Annual Mean Temperature (Trend),8.57
1966,Wales,Annual Mean Temperature (Trend),8.57
1967,Wales,Annual Mean Temperature (Trend),8.57
1968,Wales,Annual Mean Temperature (Trend),8.57
1969,Wales,Annual Mean Temperature (Trend),8.58
1970,Wales,Annual Mean Temperature (Trend),8.58
1971,Wales,Annual Mean Temperature (Trend),8.59
1972,Wales,Annual Mean Temperature (Trend),8.59
1973,Wales,Annual Mean Temperature (Trend),8.59
1974,Wales,Annual Mean Temperature (Trend),8.59
1975,Wales,Annual Mean Temperature (Trend),8.6
1976,Wales,Annual Mean Temperature (Trend),8.62
1977,Wales,Annual Mean Temperature (Trend),8.63
1978,Wales,Annual Mean Temperature (Trend),8.64
1979,Wales,Annual Mean Temperature (Trend),8.64
1980,Wales,Annual Mean Temperature (Trend),8.66
1981,Wales,Annual Mean Temperature (Trend),8.68
1982,Wales,Annual Mean Temperature (Trend),8.7
1983,Wales,Annual Mean Temperature (Trend),8.72
1984,Wales,Annual Mean Temperature (Trend),8.74
1985,Wales,Annual Mean Temperature (Trend),8.76
1986,Wales,Annual Mean Temperature (Trend),8.79
1987,Wales,Annual Mean Temperature (Trend),8.83
1988,Wales,Annual Mean Temperature (Trend),8.87
1989,Wales,Annual Mean Temperature (Trend),8.92
1990,Wales,Annual Mean Temperature (Trend),8.97
1991,Wales,Annual Mean Temperature (Trend),9.01
1992,Wales,Annual Mean Temperature (Trend),9.05
1993,Wales,Annual Mean Temperature (Trend),9.1
1994,Wales,Annual Mean Temperature (Trend),9.15
1995,Wales,Annual Mean Temperature (Trend),9.2
1996,Wales,Annual Mean Temperature (Trend),9.23
1997,Wales,Annual Mean Temperature (Trend),9.27
1998,Wales,Annual Mean Temperature (Trend),9.31
1999,Wales,Annual Mean Temperature (Trend),9.34
2000,Wales,Annual Mean Temperature (Trend),9.37
2001,Wales,Annual Mean Temperature (Trend),9.39
2002,Wales,Annual Mean Temperature (Trend),9.41
2003,Wales,Annual Mean Temperature (Trend),9.42
2004,Wales,Annual Mean Temperature (Trend),9.44
2005,Wales,Annual Mean Temperature (Trend),9.45
2006,Wales,Annual Mean Temperature (Trend),9.46
2007,Wales,Annual Mean Temperature (Trend),9.47
2008,Wales,Annual Mean Temperature (Trend),9.48
2009,Wales,Annual Mean Temperature (Trend),9.48
2010,Wales,Annual Mean Temperature (Trend),9.49
2011,Wales,Annual Mean Temperature (Trend),9.51
2012,Wales,Annual Mean Temperature (Trend),9.53
2013,Wales,Annual Mean Temperature (Trend),9.55
2014,Wales,Annual Mean Temperature (Trend),9.57
2015,Wales,Annual Mean Temperature (Trend),9.6
2016,Wales,Annual Mean Temperature (Trend),9.62
2017,Wales,Annual Mean Temperature (Trend),9.64
2018,Wales,Annual Mean Temperature (Trend),9.66
2019,Wales,Annual Mean Temperature (Trend),9.67
2020,Wales,Annual Mean Temperature (Trend),9.69
2021,Wales,Annual Mean Temperature (Trend),9.69
2022,Wales,Annual Mean Temperature (Trend),9.7
1884,Scotland,Annual Mean Temperature (Trend),6.54
1885,Scotland,Annual Mean Temperature (Trend),6.54
1886,Scotland,Annual Mean Temperature (Trend),6.55
1887,Scotland,Annual Mean Temperature (Trend),6.57
1888,Scotland,Annual Mean Temperature (Trend),6.59
1889,Scotland,Annual Mean Temperature (Trend),6.61
1890,Scotland,Annual Mean Temperature (Trend),6.63
1891,Scotland,Annual Mean Temperature (Trend),6.65
1892,Scotland,Annual Mean Temperature (Trend),6.67
1893,Scotland,Annual Mean Temperature (Trend),6.7
1894,Scotland,Annual Mean Temperature (Trend),6.73
1895,Scotland,Annual Mean Temperature (Trend),6.75
1896,Scotland,Annual Mean Temperature (Trend),6.78
1897,Scotland,Annual Mean Temperature (Trend),6.8
1898,Scotland,Annual Mean Temperature (Trend),6.82
1899,Scotland,Annual Mean Temperature (Trend),6.84
1900,Scotland,Annual Mean Temperature (Trend),6.85
1901,Scotland,Annual Mean Temperature (Trend),6.86
1902,Scotland,Annual Mean Temperature (Trend),6.87
1903,Scotland,Annual Mean Temperature (Trend),6.87
1904,Scotland,Annual Mean Temperature (Trend),6.88
1905,Scotland,Annual Mean Temperature (Trend),6.88
1906,Scotland,Annual Mean Temperature (Trend),6.89
1907,Scotland,Annual Mean Temperature (Trend),6.89
1908,Scotland,Annual Mean Temperature (Trend),6.89
1909,Scotland,Annual Mean Temperature (Trend),6.88
1910,Scotland,Annual Mean Temperature (Trend),6.88
1911,Scotland,Annual Mean Temperature (Trend),6.88
1912,Scotland,Annual Mean Temperature (Trend),6.88
1913,Scotland,Annual Mean Temperature (Trend),6.88
1914,Scotland,Annual Mean Temperature (Trend),6.88
